orderid;date;idCustomer
1;1/01/2015;1
2;1/01/2015;2
3;1/01/2015;3
4;1/01/2015;4
5;1/01/2015;5
6;1/01/2015;6
7;1/01/2015;7
8;1/01/2015;8
9;1/01/2015;9
10;1/01/2015;10
11;1/01/2015;11
12;1/01/2015;12
13;1/01/2015;13
14;1/01/2015;14
15;1/01/2015;15
16;1/01/2015;16
17;1/01/2015;17
18;1/01/2015;18
19;1/01/2015;19
20;1/01/2015;20
21;1/01/2015;21
22;1/01/2015;22
23;1/01/2015;23
24;1/01/2015;24
25;1/01/2015;25
26;1/01/2015;26
27;1/01/2015;27
28;1/01/2015;28
29;1/01/2015;29
30;1/01/2015;30
31;1/01/2015;31
32;1/01/2015;32
33;1/01/2015;33
34;1/01/2015;34
35;1/01/2015;35
36;1/01/2015;36
37;1/01/2015;37
38;1/01/2015;38
39;1/01/2015;39
40;1/01/2015;40
41;1/01/2015;41
42;1/01/2015;42
43;1/01/2015;43
44;1/01/2015;44
45;1/01/2015;45
46;1/01/2015;46
47;1/01/2015;47
48;1/01/2015;48
49;1/01/2015;49
50;1/01/2015;50
