pizzaid;pizzaname;pizzing
bbq_ckn;The Barbecue Chicken Pizza;Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce
big_meat;The Big Meat Pizza;Bacon, Pepperoni, Italian Sausage, Chorizo Sausage
brie_carre;The Brie Carre Pizza;Brie Carre Cheese, Prosciutto, Caramelized Onions, Pears, Thyme, Garlic
calabrese;The Calabrese Pizza;?duja Salami, Pancetta, Tomatoes, Red Onions, Friggitello Peppers, Garlic
cali_ckn;The California Chicken Pizza;Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese
ckn_alfredo;The Chicken Alfredo Pizza;Chicken, Red Onions, Red Peppers, Mushrooms, Asiago Cheese, Alfredo Sauce
ckn_pesto;The Chicken Pesto Pizza;Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce
classic_dlx;The Classic Deluxe Pizza;Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon
five_cheese;The Five Cheese Pizza;Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic
four_cheese;The Four Cheese Pizza;Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic
green_garden;The Green Garden Pizza;Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese
hawaiian;The Hawaiian Pizza;Sliced Ham, Pineapple, Mozzarella Cheese
ital_cpcllo;The Italian Capocollo Pizza;Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano
ital_supr;The Italian Supreme Pizza;Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic
ital_veggie;The Italian Vegetables Pizza;Eggplant, Artichokes, Tomatoes, Zucchini, Red Peppers, Garlic, Pesto Sauce
mediterraneo;The Mediterranean Pizza;Spinach, Artichokes, Kalamata Olives, Sun-dried Tomatoes, Feta Cheese, Plum Tomatoes, Red Onions
mexicana;The Mexicana Pizza;Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic
napolitana;The Napolitana Pizza;Tomatoes, Anchovies, Green Olives, Red Onions, Garlic
pep_msh_pep;The Pepperoni, Mushroom, and Peppers Pizza;Pepperoni, Mushrooms, Green Peppers
pepperoni;The Pepperoni Pizza;Mozzarella Cheese, Pepperoni
peppr_salami;The Pepper Salami Pizza;Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic
prsc_argla;The Prosciutto and Arugula Pizza;Prosciutto di San Daniele, Arugula, Mozzarella Cheese
sicilian;The Sicilian Pizza;Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic
soppressata;The Soppressata Pizza;Soppressata Salami, Fontina Cheese, Mozzarella Cheese, Mushrooms, Garlic
southw_ckn;The Southwest Chicken Pizza;Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce
spicy_ital;The Spicy Italian Pizza;Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic
spin_pesto;The Spinach Pesto Pizza;Spinach, Artichokes, Tomatoes, Sun-dried Tomatoes, Garlic, Pesto Sauce
spinach_fet;The Spinach and Feta Pizza;Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic
spinach_supr;The Spinach Supreme Pizza;Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese
thai_ckn;The Thai Chicken Pizza;Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce
the_greek;The Greek Pizza;Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions
veggie_veg;The Vegetables + Vegetables Pizza;Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic
